symbol,security,country,gics_sector,gics_sub_industry,categories
CSCO,Cisco,United States,Information Technology,Communications Equipment,"[""Cisco Systems| "", ""1984 establishments in California"", ""American companies established in 1984"", ""Manufacturing companies based in San Jose, California"", ""Companies in the Dow Jones Industrial Average"", ""Companies in the Nasdaq-100"", ""Companies listed on the Nasdaq"", ""Computer companies established in 1984"", ""Computer companies of the United States"", ""Deep packet inspection"", ""Electronics companies established in 1984"", ""Multinational companies headquartered in the United States"", ""Networking companies of the United States"", ""Networking hardware companies"", ""Technology companies based in the San Francisco Bay Area"", ""Technology companies established in 1984"", ""Telecommunications equipment vendors"", ""Videotelephony"", ""Companies listed on the Hong Kong Stock Exchange"", ""1990 initial public offerings""]"
CSGP,CoStar Group,United States,Consumer Discretionary,Business Services,"[""Real estate companies established in 1987"", ""1987 establishments in Washington, D.C."", ""Companies based in Washington, D.C."", ""Real estate services companies of the United States"", ""1998 initial public offerings""]"
CSGS,CSG Systems International,United States,Technology,EDP Services,"[""Multinational companies"", ""Companies based in Meridian, Colorado"", ""American companies established in 1994"", ""1994 establishments in Nebraska""]"
CSL,Carlisle Companiesorporated,United States,Industrials,Specialty Chemicals,
CSLR,Complete Solaria,United States,Technology,Semiconductors,
CSPI,CSP,United States,Technology,EDP Services,
CSQ,Calamos Strategic Total Return,United States,Finance,Finance Companies,
CSR,D/B/A Centerspace,United States,Real Estate,Real Estate Investment Trusts,
CSSE,Chicken Soup for the Soul Entertainment,United States,Consumer Discretionary,Movies/Entertainment,"[""1993 establishments in Connecticut"", ""American companies established in 1993"", ""Publishing companies established in 1993"", ""Mass media companies established in 1993"", ""Companies based in Fairfield County, Connecticut"", ""Companies listed on the Nasdaq"", ""2017 initial public offerings"", ""Greenwich, Connecticut""]"
CSTL,Castle Biosciences,United States,Health Care,Medical Specialities,
CSTR,CapStar Financial Holdings,United States,Finance,Major Banks,
CSV,Carriage Services,United States,Consumer Discretionary,Other Consumer Services,
CSWC,Capital Southwest Corporation,United States,Finance,Finance/Investors Services,
CSWI,CSW Industrials,United States,Industrials,Home Furnishings,
CSX,CSX Corporation,United States,Industrials,Railroads,"[""Companies listed on the Nasdaq"", ""Companies based in Jacksonville, Florida"", ""Companies in the Dow Jones Transportation Average"", ""CSX Transportation"", ""United States railroad holding companies"", ""1980 establishments in Florida"", ""Railway companies established in 1980"", ""Northbank, Jacksonville"", ""Publicly traded companies based in Jacksonville, Florida"", ""Multinational companies based in Jacksonville""]"
CTAS,Cintas Corporation,United States,Consumer Discretionary,Business Services,"[""Business services companies of the United States"", ""American companies established in 1929"", ""Business services companies established in 1929"", ""Clothing companies established in 1959"", ""Clothing companies of the United States"", ""1929 establishments in Ohio"", ""1980s initial public offerings""]"
CTBI,Community Trust Bancorp,United States,Finance,Major Banks,
CTCX,Carmell Therapeutics Corporation,United States,Health Care,Medical/Dental Instruments,
CTG,Computer Task Group,United States,Technology,EDP Services,"[""International information technology consulting firms"", ""Companies based in Buffalo, New York"", ""Business services companies established in 1966"", ""Companies listed on the Nasdaq"", ""1966 establishments in New York (state)""]"
CTGO,Contango ORE,,Basic Materials,Precious Metals,
CTHR,Charles & Colvard Ltd,United States,Consumer Discretionary,Consumer Specialties,
CTIB,Yunhong CTI Ltd.,United States,Industrials,Specialty Chemicals,
CTKB,Cytek Biosciences,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
CTLP,Cantaloupe,United States,Technology,EDP Services,"[""Technology companies of the United States"", ""Companies based in Chester County, Pennsylvania"", ""Technology companies established in 1992"", ""Point of sale companies"", ""Software companies of the United States"", ""1992 establishments in Pennsylvania"", ""Companies listed on the Nasdaq""]"
CTLT,Catalent,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""Companies based in Somerset County, New Jersey"", ""Pharmaceutical companies established in 2007"", ""Companies listed on the New York Stock Exchange"", ""Pharmaceutical companies based in New Jersey"", ""Gene therapy"", ""Biotechnology companies of the United States"", ""Multinational companies headquartered in the United States"", ""Life sciences industry"", ""Drug discovery companies"", ""Research and development in the United States"", ""2014 initial public offerings""]"
CTM,Castellum,,Technology,EDP Services,
